step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
345,34033,345,0.36468745866345126,0.0,0.8461538461538461,1.492243569162674,0.0,0.4
346,34122,346,1.059702597673215,0.0,0.6578947368421053,,,
347,34283,347,1.0663588646107525,0.0,0.6527777777777778,,,
348,34372,348,1.5132446338814807,0.0,0.5769230769230769,,,
349,34429,349,0.8886758102658023,0.0,0.631578947368421,,,
350,34494,350,0.8163544372249709,0.0,0.7169811320754716,,,
351,34663,351,1.1885780138393287,0.0,0.6558441558441559,,,
352,34720,352,0.7421463826257948,0.0,0.7674418604651163,,,
353,34929,353,0.9572090189479946,0.0,0.7087912087912088,1.761426193865733,0.0,0.5151515151515151
354,34994,354,0.38621783640686774,0.0,0.825,,,
355,35027,355,0.15487360155185398,1.0,1.0,,,
356,35116,356,0.5239478337907821,0.0,0.796875,,,
357,35165,357,0.2588064496934627,0.0,0.8620689655172413,,,
358,35254,358,0.5879301084151655,0.0,0.7285714285714285,,,
359,35303,359,0.5901271488883854,0.0,0.7105263157894737,,,
360,35384,360,0.5676751648830067,0.0,0.8028169014084507,,,
361,35473,361,0.7022628532225167,0.0,0.7368421052631579,2.945742258113751,0.0,0.2962962962962963
362,35586,362,0.7169112575216021,0.0,0.7526881720430108,,,
363,35683,363,1.2205922055229257,0.0,0.5764705882352941,,,
364,35924,364,1.1937670576726007,0.0,0.6636363636363637,,,
365,35973,365,0.2610768948534193,0.0,0.96875,,,
366,36070,366,1.0441682116244069,0.0,0.5921052631578947,,,
367,36215,367,1.274961204543586,0.0,0.6594202898550725,,,
368,36296,368,0.7853267901003197,0.0,0.7301587301587301,,,
369,36425,369,1.3086952665979332,0.0,0.6396396396396397,2.6167748386295924,0.0,0.34782608695652173
370,36466,370,0.689220616624727,0.0,0.6551724137931034,,,
371,36507,371,0.17236013501011305,0.0,0.9,,,
372,36660,372,1.7072569545778509,0.0,0.5073529411764706,,,
